metric	metric_value	metric_type
abox_axiom_count	0	single_value
abox_axiom_count_incl	0	single_value
annotation_property_count	3	single_value
annotation_property_count_incl	3	single_value
axiom_count	785	single_value
axiom_count_incl	785	single_value
class_count	0	single_value
class_count_incl	0	single_value
dataproperty_count	0	single_value
dataproperty_count_incl	0	single_value
datatypes_count	1	single_value
datatypes_count_incl	1	single_value
individual_count	0	single_value
individual_count_incl	0	single_value
logical_axiom_count	668	single_value
logical_axiom_count_incl	668	single_value
obj_property_count	29	single_value
obj_property_count_incl	29	single_value
ontology_anno_count	0	single_value
ontology_iri	anonymousId	single_value
ontology_version_iri	anonymousId	single_value
owl2	true	single_value
owl2_dl	false	single_value
owl2_el	false	single_value
owl2_ql	false	single_value
owl2_rl	false	single_value
owl2dl_profile_violation	UseOfPropertyInChainCausesCycle 132	map_value
rbox_axiom_count	668	single_value
rbox_axiom_count_incl	668	single_value
rdfs	false	single_value
rule_count	0	single_value
rule_count_incl	0	single_value
signature_entity_count	33	single_value
signature_entity_count_incl	33	single_value
tbox_axiom_count	0	single_value
tbox_axiom_count_incl	0	single_value
tboxrbox_axiom_count	668	single_value
tboxrbox_axiom_count_incl	668	single_value
